"","sub","W"
"136","61698720ea3862e067c47c73",0.953
"137","6169e8d9be13591ec127234a",0.963
"138","62348a6d578faf950d112cd3",0.9175
"139","6277dd39dea28b8907aeef70",0.9735
"140","629625e303590ce5fcbcc825",0.9105
"141","62a1d848cc2237ff6738870f",0.891
"142","62e0289b12d76830eadddf64",0.9275
"143","631a0092b31ed67abaac9a02",0.892
"144","6329cf9aff421956acd033e9",0.8815
"145","63471036ea4370051841008b",0.8845
"146","634d7250f674c11a71d1b88e",0.889
"147","6383b7d918eb0bcaf1047eed",0.955
"148","63862402dfdb1803712bccc2",0.9315
"149","63d79c1136770259780aac5b",0.8945
"150","63eb2becc8df9ebd3464ee30",0.956
"151","63fe92b28adbbeb199f72bce",0.898
"152","657b1ac8f219aa9a6748e296",0.9135
"153","6582f4957f9dd146c22f5133",0.8965
"154","65ae789d505b83fbae83d2d9",0.9425
"155","660c14adf5c4fa1a37266dfb",0.816
"156","660f0517a5411a6b75167dbb",0.9655
"157","661c4c59aff03b32a5c33f00",0.8995
"158","6630ee67299e21042731c4bd",0.6495
"159","66463bf72e59172adcc8984d",0.6835
"160","664ca5ef9be114327005411b",0.9835
"161","6658b14998569e477b21cd80",0.9415
"162","6658b182bb57e6360147f2f5",0.959
"163","6658b1949fc464b37f912b54",0.9825
"164","6658b407522b5c7e897529d5",0.98
"165","6658bd742faf93a3722865ec",0.8825
"166","6658d5bd37eb0f2c12697272",0.8485
"167","66598d6e838231ffe9e1613b",0.8755
"168","6659c96903fd81f8cb8f28b3",0.889
"169","665b45af7b1fe039854a384a",0.967
"170","665c19cbf05490e862a35c11",0.9495
"171","66621953106bcfd2a341c0c0",0.982
"172","66621a2d9fa233fcc827b7ae",0.944
"173","6665aa62523e75dac0aa67a4",0.951
"174","6666c8e64388bb611a6b0360",0.9725
"175","6667015e358c1fe41b8a3d7f",0.8235
"176","667026a378d84c75e1cf8cd0",0.8765
"177","667188c0df62cb2dc8136a1a",0.527
"178","66735eb3b7a2b7865029fd0e",0.8875
"179","66738faa84ab2350369ce05f",0.9395
"180","6676e112cb8e96df168a93a1",0.9055
"181","667784373f153eea5dcb4a37",0.987
"182","667970d8a01336cee143d871",0.893
"183","66798d6e51f5bcf4c0a8d2fc",0.915
"184","6679f1569f882aa303fa49bb",0.9305
"185","667b24c6c25f7a12d08d9ab6",0.9505
"186","667c11cd9bfcad443af6584f",0.905
"187","667ebc629093f022db34278f",0.8805
"188","66804ea629a042a9477fc387",0.888
"189","6682c4822f75bd26637c1cad",0.1255
"190","6683c48e031b35373bd3ff0c",0.976
"191","66859537f8fee40f342c2d6d",0.702
"192","6686006e69071d83fee5c816",0.861
"193","66862fbfcf8f9b001caadb69",0.8805
"194","6687ef9f1e15a5d201ba3b3f",0.978
"195","6687f3edcee793fc3d6185ee",0.872
"196","668a935e677dc562a445cd03",0.914
"197","668bb99e5fa8b9ebb3c428ac",0.8805
"198","668bfbcbfd735b6652c60f20",0.9165
"199","668d5331aa58b7e75ff160d7",0.973
"200","668d822d705c807ed4664ae1",0.9785
"201","5466464dfdf99b7fec4402b0",0.0365
"202","54b042f9fdf99b71c47ea96b",0.14
"203","558996f2fdf99b7ae47f5ed2",0.4545
"204","5680383ac5767f000d1c7e77",0.024
"205","5755c957eb80c4000741a9ce",0.018
"206","577173988445140001a36edb",0.122
"207","5a465b1756ec1100014a317f",0.0875
"208","5a4698b97a3e3a0001dd564e",0.189
"209","5a598f2b8e6259000175f094",0.0735
"210","5a89afc90f1bce00012242d8",0.165
"211","5a991dd86475f900019fe4b6",0.0455
"212","5ae9decad9f2be000193310a",0.075
"213","5b15a1369663ee000146421e",0.216
"214","5b1d5fabbdf4e10001638a19",0.012
"215","5b544d49026602000179257e",0.004
"216","5bdead73ed3acf0001666f03",0.5965
"217","5c28d36b6fbaed00010847a8",0.1775
"218","5c3fd0d4c2d0b700017d02cd",0.181
"219","5c4757857aa69f00017418af",0.1665
"220","5c604a82001e3400014515f2",0.026
"221","5c6c2dd852688b0001d20458",0.214
"222","5c765990f33ac60016b7b2a1",0.147
"223","5c7f087e7ce06e0012d9eadc",0.0025
"224","5c92a21d2affcf001776a514",0.1605
"225","5ccef4423f15b900199e1ec3",0.152
"226","5cd47eac121337001afb9e96",0.3055
"227","5cd6f48c48cd50001862b4c4",0.562
"228","5cd9dd09c8e37500018ab627",0.161
"229","5d190e1c686b190018ea4d86",0.1215
"230","5d5b234a5884e3001552657b",0.1645
"231","5da78f61a60c0d0017d6ed89",0.107
"232","5dac2415bb24a50017217397",0.167
"233","5dc9e325ac77c76f8a335019",0.147
"234","5dcebc20393bd3000a9dcc2e",0.1655
"235","5e110747dc265f7d25341439",0.4735
"236","5e33e9b555c80a3b1a42693d",0.1935
"237","5e4b1627e778a8030266480c",0.1565
"238","5e7b84917412d418676e1b19",0.1655
"239","5e7e729c1fe4f954c8b8abf6",0.011
"240","5e9ffaf7e9ea4e000b76917c",0.017
"241","5ea1a2e7939362055f0c325a",0.1395
"242","5eb57a827b87b908ed464aca",0.179
"243","5eb9499bcbc2140180e31037",0.016
"244","5ebc466264fea60774387e75",0.277
"245","5ec7d68512268325623eb178",0.23
"246","5f19a735255c76000b023d92",0.2075
"247","5f3d63427c561a0f0d0cb09c",0.303
"248","5f44ed0e7f545e029071c4e8",0.273
"249","5f778d553167a12eae0e1c00",0.52
"250","5fb997d62e675a62d4512560",0.166
"251","5fdbf1bce6b2811086d25be3",0.032
"252","5fde8fc3c0e40a651914c261",0.1415
"253","5ff1aa3251f3a95f05d80068",0.0065
"254","600784c70a5c05292d6ae3c0",0.3855
"255","603ec9304e3f3200d7ed2ead",0.0375
"256","604a06acf362ce3bbf7b5106",0.1555
"257","605cd1b167207b8209b39fee",0.184
"258","60855f538b53f54054804748",0.581
"259","60b7d053a787ce9076e74227",0.003
"260","60c1f0e3708c6bcc65473102",0.021
"261","60cf6fc7a6a20c1402bc53f3",0.199
"262","60d242dbd4a3ad11a5aeb7c5",0.0325
"263","60db48ac84dd2a3eaa65d912",0.165
"264","60fc50b86b35094f5e5cd284",0.0085
"265","60fdb82c66e02b2b47798dc7",0.165
"266","61006b0f1f3bfddb6b4c5d55",0.1665
"267","61026015b70c93b95254a4ca",0.0845
"268","610466e3fb619bdbdf8eb32d",0.1565
"269","610a547a326f57e33bb87e88",0.167
"270","61186e3cfc2694eafd5170e4",0.4295
"271","613b89f37101459d36a4768f",0.1725
"272","613e495d5991ed54f860fe9d",0.1935
"273","6147a1a9fd8dbbfb4e1e6711",0.1935
"274","616c98c5821cbeeffb348e40",0.1775
"275","6269a659f3f7e7e125de8af1",0.152
"276","62b2aea60b8dbf2bda1d67e7",0.1495
"277","62c4447bf90fc4b646c59a62",0.1635
"278","62dc597fd77d6332766c29a4",0.181
"279","62e3b86e93ec657bf1a690b5",0.1635
"280","62ecf9bfdac8441b46ddaaf6",0.1005
"281","63468b1061ea9fad9573cee9",0.0595
"282","634d7250a9dbe47b2b1d110f",0.026
"283","63cf9471d0cf4c4c8ebd9ee7",0.0625
"284","63f77d3124200f797c299213",0.0125
"285","6415b3c95afa8dcac0dd7ae3",0.148
"286","6447abcf5525c01385eda994",0.175
"287","64fb1c70c9719e368a47142d",0.1165
"288","6520290b73bfb2e99d29a826",0.053
"289","652ae54b698bbd5c18c0c90e",0.013
"290","6573aa939c6576b736f010c3",0.1545
"291","6580514493246c5405bcf34f",0.045
"292","65a5920088672d869713f267",0.0955
"293","660127d40cbc878e8a0cf7fc",0.189
"294","660c025b08e3356815aa96ef",0.0385
"295","661150ffd1b67ab0b6f6176e",0.2045
"296","662fb45148dc640c520e5272",0.097
"297","66337987220de404794cb171",0.1435
"298","6637925e47202e10aa6e5cc5",0.1655
"299","6638e4a35e6232515dadc5bf",0.249
"300","6641220f4193c77a18d63a8e",0.108
"301","56c24f960a25f10005e5797b",0.018
"302","5841e1b3541de800013d49ce",0.2775
"303","599ac21305a0e30001f200c1",0.302
"304","5a031341728b1b0001ad8bee",0.0385
"305","5a89b3a0b093f80001a7f77f",0.3715
"306","5b1dfad43522660001b4510d",0.01
"307","5b61d0768de04c000171cf1b",0.0015
"308","5ba2a1c8c96df90001ce9159",0.2865
"309","5ba6d33077f30d00014fe202",0.166
"310","5c05da0155614800012bb7bc",0.155
"311","5c1d232074ad0b0001531eea",0.008
"312","5c1fdc85e622c10001ece52a",0.01
"313","5c2b6280248ff5000114042b",0.6045
"314","5c2b80f371d2760001eff037",0.5055
"315","5cad1eef8ed53d00180d2532",0.913
"316","5ccf41c9bd0d3e001593ce92",0.54
"317","5ced2932539ced0017fbcb29",0.097
"318","5cf398a1e55efc000127adae",0.0115
"319","5d3b27a3cb6d84001835402b",0.082
"320","5d403b7d4e509a0019f664f0",0.242
"321","5d45e40fd62d7a0017395277",0.0085
"322","5d6e4fa13e7e82001b2e8586",0.405
"323","5d8878251f684d0001737c56",0.2775
"324","5d8a2b0f887a21001543980f",0.2715
"325","5d9990363342a002b765ad1d",0.2735
"326","5dd529363558224d3f7fa486",0.4235
"327","5de12e8bcc246f1801c63071",0.398
"328","5de572f21a7af84fc3cd0ca7",0.272
"329","5dec1798e4f840300cd3c680",0.32
"330","5e1b6da99debf5393dfba2dc",0.2645
"331","5e1f97bb97308b2cf7b254fb",0.235
"332","5e28bd32e4254006e204f309",0.5265
"333","5e2c86f4d747d92ad0120813",0.3015
"334","5e398a6ef906aa19bb160842",0.0955
"335","5e3afe879d5f1e30b75b9ca6",0.0175
"336","5e57d38b533eec1818078f0b",0.557
"337","5e5e817e9dad801ad64f116f",0.3055
"338","5e84391b7eff7b18bfbeba13",0.057
"339","5e89ba09ec9b3364b1fc0bd1",0.247
"340","5ec9c8ac6c15054fe7508271",0.294
"341","5ed4106ca9bba30c4b74bbbd",0.283
"342","5ee944d1886b7d1b8481387d",0.8825
"343","5f1d635678812366e39f335f",0.0795
"344","5f356cbffb4cea5170d04fd9",0.057
"345","5f3d42de03555c0832cbef73",0.0735
"346","5f6b027e6eae971e2fa13594",0.31
"347","60369ae814f750ef3d063c3e",0.013
"348","6042043e8399b51f696c5cda",0.3095
"349","604647daf93b230c5c1521f3",0.037
"350","6060a66b5038da4bed166eed",0.2525
"351","6065156e5a052bf80d91ff93",0.2735
"352","6084b61050c26fcc0f794675",0.399
"353","60efef370d821bde9cbb0099",0.2715
"354","60fd104de10db57a893a0296",0.4305
"355","60fd56221905a639b3a6ab51",0.277
"356","610074329088b3e63b1ce2f1",0.5585
"357","6110987b6efd3ca6a745836b",0.327
"358","614ad1d11ebbb70be136b832",0.0415
"359","61509e9ca1a1eb29e9e76c44",0.336
"360","61688d6c15deec9c3554760e",0.0445
"361","6286800999a782f0e51954a5",0.098
"362","6286ae7ceda94060ab23bb7c",0.1575
"363","629f2a9c3effb1dc81c49116",0.8545
"364","62a1e2fd89e02622395cab4d",0.7785
"365","62a71d4e0485f3195cd5fe54",0.2705
"366","62c71e41af2bc57590b548e8",0.272
"367","62db2b12610af426614b50bd",0.004
"368","63038b2eaffacfbe936164c1",0.8925
"369","63038e5456edb0d2cb421385",0.1815
"370","631f8164145b26de1567f040",0.374
"371","6321da5de806efad3e53163f",0.2895
"372","63cff251f44e8a213aab86c6",0.2025
"373","640132934d00561d78518c4c",0.012
"374","646995ed901eb3789602a086",0.315
"375","646d53d90b1b0ceddb776f59",0.2745
"376","651979733e35af04ce5fca4e",0.3335
"377","6557a511c1820638346dba24",0.2425
"378","659ecf23553b45a0326cb6b2",0.278
"379","65abde492c561233fe22a621",0.297
"380","65abea576ca74c598aef13c3",0.3515
"381","65ba5ca6245531fb7cef4ddf",0.0225
"382","65cb7b4f9b771b8103c8c0a4",0.9065
"383","6601aa682f7f3855f98f4647",0.2745
"384","660ef2786a0104b156989af7",0.0205
"385","66105399d0c91c3e9e4c3bce",0.2795
"386","6616850023ea961627153655",0.0555
"387","661825de60cb5961005070eb",0.2555
"388","661e683f2cb86a7f3e041b23",0.2155
"389","662283c9f55042768b2ffe91",0.334
"390","6643056f4f4e3215cd694776",0.186
"391","6643555f305ea02592fa0ccb",0.5785
"392","6643c8d8f6c2189fd555f249",0.11
"393","6645b72a1a5f7902bfd57b52",0.2345
"394","6647a25b9eb3a83d8f527876",0.254
"395","6649073f409261b612520f97",0.231
"396","664a1bcbac985050a4575af2",0.0995
"397","664a9f9a7b9198dc1ad857ca",0.016
"398","664c9de6874cd4d39680afea",0.016
"399","664ce8a6dbdc7630d2abd227",0.0225
"400","664def2981f1d36ca1e9d24b",0.2695
"401","57308d1530a5560010ecbc1a",0.008
"402","57deda2591b7fc0001493e95",0.3495
"403","5823c1b185e40e00012f2e68",0.486
"404","585586c728da4d0001884a00",0.3435
"405","58eb9b26b0ddf800010dc8bd",0.5185
"406","594e2bb7a402220001d84067",0.4615
"407","5953668fb2e8430001ea478f",0.804
"408","59646f5198cf77000106feb1",0.3495
"409","5973c67b5eccd900013a7f8b",0.3595
"410","5982e7b91815040001e698c4",0.0045
"411","59e7276d5de9b000017ed1c1",0.7625
"412","5a606ae1eedc32000142ea79",0.004
"413","5a6759ad35f26b0001496694",0.1045
"414","5a9bcd3f1eda410001366c55",0.368
"415","5a9ea9fe1ade740001b92063",0.345
"416","5b17642244127b00013f7f65",0.3305
"417","5b55e6bb6a1fa9000103b304",0.0025
"418","5bec8053b6b5ab00017c7349",0.4905
"419","5c2cf8a7be4e9200014fc062",0.375
"420","5c2f6d25e38ccd0001caab19",0.39
"421","5c4ce29ad7c9720001295e1b",0.323
"422","5c4e5f2ae5f00f0001542748",0.304
"423","5c617b872026f300018082d1",0.3575
"424","5c6e8dd877955b0001ff0c58",0.1165
"425","5c81582c4c1a61000155584f",0.3155
"426","5c97f7ed18a759001648027a",0.3275
"427","5cab7cc86d3a6e001519d9e9",0.0165
"428","5cb1e0ccc9ca1c00181d3e3c",0.3755
"429","5cb59c9e4c39f300173efd41",0.0025
"430","5cd2f0685a6ef30012924432",0.081
"431","5d0913ff65eb3400019cc1d8",0.3255
"432","5d838915e3876a00014c44b9",0.865
"433","5d8bb1cb08831c00199158e1",0.3715
"434","5d9b02cd4ce5d302eb84801d",0.0495
"435","5deadb731aaabf212ed16016",0.1635
"436","5df538c3ff28a83bc0b72669",0.9375
"437","5e35373e1ddb124e6c306747",0.0415
"438","5e85bef40312bf1accc43239",0.1105
"439","5e9aff02f4a78b1a1fe7fc3c",0.324
"440","5e9f897c20320b000b1cc4cb",0.49
"441","5ea5ab953728485a2d53e033",0.462
"442","5eb561131434b1053a77d85d",0.2485
"443","5eb7dec5245b8670ff3536f2",0.0305
"444","5eea9699ab4f5c1bcbffa983",0.8215
"445","5ef40a3ceb5b661c164551c4",0.0605
"446","5f8b4560fc6686262722efdb",0.3655
"447","5f8bad1242efeb2f49156f51",0.4625
"448","5f9968d24377ef035c24dcd6",0.2115
"449","6022cb0bc69ce70874b42f78",0.414
"450","60241d8be372010009703f80",0.004
"451","6091c048a583f9919843aa1c",0.039
"452","60a00380a43a4ac3e0a1c66a",0.395
"453","60c2a30e24e7f2ce0c8b56ca",0.956
"454","60d784db7de1cc8f3d59d3a6",0.3085
"455","60de3960a914c5219a7f0d4d",0.337
"456","60de4cc94dfda4d9e1948e6d",0.1385
"457","60e39059c89cadf89f4e29eb",0.3055
"458","60e5ffe203dd6eafa22c5d15",0.32
"459","613a5cffb2911279076b5709",0.8375
"460","61594f3d0ab0ed54b1deb3ec",0.0295
"461","61648be296a6aa6811817678",0.4615
"462","6166d5303697f00c3b572066",0.0355
"463","61fa936e5719bc09cb834cbe",0.4155
"464","62714f1a980371802eccdfd3",0.3305
"465","628775652a4a95dff424b930",0.003
"466","62fb79136f84975e7d460f8b",0.1165
"467","630390a342ae232220e6034c",0.085
"468","634ad1cca828fbb8c355380f",0.0165
"469","63d0e55975e5beb4cdb7b188",0.3085
"470","63e6dfd8bb1c10a44d13d7e5",0.4965
"471","63ea437afbb1a5dcfe7740c5",0.4175
"472","6400d8a392df8ab66a45814c",0.319
"473","64136034f020e6b765d0bc4c",0.2565
"474","64137ab1ba8c23e1b4282140",0.8625
"475","648433888b4673eccb878f88",0.3205
"476","6495b20dcbfda549afea6f6b",0.358
"477","64e871eb5d4b2bd9ce50f82b",0.015
"478","651c267cadc54f1b3e611efa",0.322
"479","651f8c9561bba4367911484c",0.3475
"480","654e526bf428f37cda613482",0.4405
"481","654e60c7652a6e1ea8418ebe",0.485
"482","654e6ed02fec82d232613bd2",0.8295
"483","654ffa78185a13c48b109ec7",0.274
"484","655f21ba67b1e9cdbea32007",0.325
"485","6570da97d601259c091e3cc6",0.343
"486","6578943bda60b06de1ba4628",0.428
"487","65aec8a515a9038f95ed2f08",0.2135
"488","65bba95969fb7e58ac83a6ce",0.4635
"489","65e5c74d56a92539d1f5ba3a",0.321
"490","65e5d4a89070326bc76fae1a",0.4265
"491","660426c0c862023fc9832df0",0.519
"492","6607eadfd4b4ebe8f9606b24",0.003
"493","660d6717775ec7820f850231",0.3685
"494","662286b393d845c24ec5d209",0.2265
"495","663d2e5f5dc0f123029a7897",0.309
"496","663d4cefd7da693cba93ab4a",0.305
"497","66421a683ec1aada2f687975",0.3315
"498","664604da31bc7fa510005366",0.5625
"499","66472012c86df53542876f2a",0.3285
"500","664e35139edce1893498a47e",0.051
"501","56b72c28f2fc70000c32fb37",0.829
"502","594a481105e73f0001450009",0.6495
"503","59ff8226ab721b0001ef6e61",0.7825
"504","5ab10212fb22320001bacdfe",0.8795
"505","5ac897a6e734400001da581c",0.37
"506","5b0ea5ea30d5620001558164",0.431
"507","5b30dd61e223e800012bd935",0.0205
"508","5b5e0e86902ad10001cfcc59",0.246
"509","5b688bf2263ecb000134330a",0.3735
"510","5b96ded47485e1000175d72d",0.7795
"511","5bd34c2c4126510001d5dbef",0.573
"512","5be94f66a169160001dafb9d",0.3195
"513","5c79bc94d454af00160e2eee",0.2785
"514","5c7c4358d81ffd0016dffe5b",0.4545
"515","5c7c73b6f48c6d0001f6f49c",0.345
"516","5c8e9e97112f870001b12bb9",0.0525
"517","5ce94777de266200151ea319",0.434
"518","5cefad9ddfb27200019620b2",0.48
"519","5cf67b231a364e00170a8ca4",0.179
"520","5d1f6e8a79b6870016f803da",0.368
"521","5d3b65136a4c6d0001cdd8ba",0.4185
"522","5d53be7ddaac02001566b548",0.357
"523","5d8cef3c28e183001a335ab0",0.035
"524","5db70fcb7bf4fe000daf3b93",0.5095
"525","5dbe90f8965e863667a79ca8",0.416
"526","5dbf261c3b89f23ccd3007af",0.3885
"527","5e237caac530bd62e210d540",0.048
"528","5e3a0494852c30225cf95713",0.0255
"529","5e482352020bde2be9b4ded1",0.3335
"530","5eaeb7b38955ea0009bd605d",0.0235
"531","5eb41fcb3a7a1724207bbfd6",0.9035
"532","5eb81d360943fe74d6aba62b",0.49
"533","5ebac054d63dde03790ceef8",0.373
"534","5ed1520d74c93509055aab74",0.2075
"535","5f0de04a8fbf010a723c826a",0.144
"536","5f240054aa2111204f231a51",0.017
"537","5f3edad9746e76182670cd0d",0.2495
"538","5f4ac049c374f51158b481ba",0.26
"539","5f5aa9f89a3ef61b0778d49a",0.799
"540","5fd5381b5807b616d910c586",0.052
"541","5fea486eeed16da38175ba44",0.337
"542","5ff0f1b0dd8cf14ba8957c5b",0.356
"543","6012d27152fa5e09eb6a29e0",0.018
"544","6020606d7b0258677b881f63",0.247
"545","605a2dbead400eae8de18f8c",0.359
"546","60b8edbbe558c9a5370335c8",0.482
"547","60b8fb929701cb52b39796aa",0.0755
"548","60e4949dd5c2941c69e48621",0.037
"549","60f8658bf9d1627d3bc87a3d",0.3395
"550","60fd954ba06b12dc5916eadd",0.7505
"551","60fdab454b8c00448c10fa27",0.3825
"552","60fdbbbaa77d40705341b211",0.027
"553","60fec21e36a05990cfa8a715",0.1225
"554","610fb8ff377a37c16a4edf38",0.1675
"555","61267e282a445af9eb95beae",0.9335
"556","6136503d70302c9d1aa894f4",0.401
"557","614ce6a7a33bac955957f7a6",0.002
"558","614f571879ee135c5a579e08",0.3525
"559","61bb381140db417c1a138ba3",0.2995
"560","62b33e90d4a7c3f314f45ba6",0.382
"561","62d138e361857aef127c9e8b",0.61
"562","62d81f26161631255f0d36bd",0.9565
"563","62d8229a7c40118d96ddcd58",0.8735
"564","62fb792a0ee96d07e2fccdb8",0.3545
"565","6329c13285c93cafdf51ed77",0.017
"566","63d40b7d3c7f92ff15ef6b67",0.0645
"567","63f79db67653ad752d6c4477",0.3125
"568","6401041925b69c601d8c81eb",0.3605
"569","640c3e718d10af5614ee82ee",0.0095
"570","6414687ee84275780cfe8acf",0.737
"571","64427a7ac5edfedbe0c2779b",0.317
"572","648706968595d07a26faa725",0.7295
"573","652c8a9f34ac384b7831f26e",0.0335
"574","656bb9267df44f2c87420776",0.079
"575","6579d1fb582e8caf3b42396c",0.2465
"576","659864775dffc3c84fb4f328",0.867
"577","65c17320210de766c44c9e75",0.0065
"578","65c247a8e76e1786498e63e6",0.1785
"579","66129f25b6661fefd057bd36",0.43
"580","661c27545897e4caee79632e",0.06
"581","662b67413674be02b03c97bc",0.0745
"582","6633e4b5ab5fed569dfd3a2b",0.339
"583","6635db76b0a9ea4ecad2f302",0.269
"584","663a5538ea4ded3dd872258e",0.443
"585","664a375e07e464189e4b25f4",0.341
