"","sim","gen","mu_t","score","know"
"66",4,6,0,0,0.0822795672440957
"67",4,7,0,0,0.0987781415917911
"68",4,8,0,0,0.11343203632976
"69",4,9,0,0.00125,0.126630901352932
"70",4,10,0,0.09125,0.197595574466803
"71",4,11,0,0.10625,0.215141392094263
"72",4,12,0,0.11125,0.223537679642751
"73",4,13,0,0.12,0.232157561286361
"74",4,14,0,0.125,0.244046760261408
"75",4,15,0,0.14875,0.252676667506263
"76",4,16,0,0.1725,0.268112670007433
"77",4,17,0,0.18875,0.274971267343733
"78",4,18,0,0.22,0.299177440309922
"79",4,19,0,0.23375,0.317077863456547
"80",4,20,0,0.2625,0.340171785320769
"81",5,1,0,0,0.00477144918468548
"82",5,2,0,0,0.0271624898883721
"83",5,3,0,0,0.0399924782723723
"84",5,4,0,0,0.0506373207939006
"85",5,5,0,0,0.0640182084729302
"86",5,6,0,0,0.0779389232772845
"87",5,7,0,0,0.0861409823115345
"88",5,8,0,0,0.0968160535288715
"89",5,9,0,0,0.109877899717817
"90",5,10,0,0,0.12839557821587
"91",5,11,0,0.00375,0.138791800155819
"92",5,12,0,0.135,0.191418495702419
"93",5,13,0,0.18875,0.202655159945648
"94",5,14,0,0.20875,0.213452349017946
"95",5,15,0,0.2225,0.238306839462534
"96",5,16,0,0.22875,0.248451164136179
"97",5,17,0,0.23375,0.25912683724382
"98",5,18,0,0.2325,0.269602539130785
"99",5,19,0,0.23875,0.280046167999746
"100",5,20,0,0.2525,0.290195951943922
"101",6,1,0,0,0.00465064439867274
"102",6,2,0,0,0.0278074930673191
"103",6,3,0,0,0.0478942116267474
"104",6,4,0,0,0.0619165888280408
"105",6,5,0,0,0.0751958283006301
"106",6,6,0,0,0.0874086675326556
"107",6,7,0,0,0.108831526001064
"108",6,8,0,0,0.12063401077702
"109",6,9,0,0,0.136639729477765
"110",6,10,0,0,0.146758120697849
"111",6,11,0,0.0025,0.149099273659598
"112",6,12,0,0.0825,0.195852495383292
"113",6,13,0,0.16625,0.217758407703778
"114",6,14,0,0.19625,0.235567944643725
"115",6,15,0,0.2225,0.249074814840949
"116",6,16,0,0.225,0.268320865819346
"117",6,17,0,0.245,0.278382077447772
"118",6,18,0,0.2675,0.296727447635693
"119",6,19,0,0.28375,0.313870568955564
"120",6,20,0,0.28875,0.335808722325996
"121",7,1,0,0,0.0038567888943071
"122",7,2,0,0,0.0288499489573955
"123",7,3,0,0,0.0509634418162101
"124",7,4,0,0,0.0622406662942219
"125",7,5,0,0,0.072856835798903
"126",7,6,0,0,0.0833990786361984
"127",7,7,0,0,0.102170004579251
"128",7,8,0,0.00125,0.115907041521787
"129",7,9,0,0.17,0.223650976124653
"130",7,10,0,0.185,0.237126908953582
"131",7,11,0,0.21,0.254677493821967
"132",7,12,0,0.22125,0.262108477588466
"133",7,13,0,0.2375,0.263800451416247
"134",7,14,0,0.23875,0.285202316886945
"135",7,15,0,0.25875,0.303710441714596
"136",7,16,0,0.28375,0.340102953611799
"137",7,17,0,0.29125,0.353196763532068
"138",7,18,0,0.34,0.384445537025046
"139",7,19,0,0.3875,0.408341368375023
"140",7,20,0,0.44625,0.441456379159881
"141",8,1,0,0,0.00495026251202216
"142",8,2,0,0,0.031375635509878
"143",8,3,0,0,0.0538028187691713
"144",8,4,0,0,0.0672327730215255
"145",8,5,0,0,0.079449770939077
"146",8,6,0,0,0.089202809178778
"147",8,7,0,0,0.0878411153100977
"148",8,8,0,0.0025,0.101343537692015
"149",8,9,0,0.14125,0.214549714569684
"150",8,10,0,0.17625,0.232034604629871
"151",8,11,0,0.18875,0.247774244160526
"152",8,12,0,0.2125,0.264581755211621
"153",8,13,0,0.2325,0.288301307374769
"154",8,14,0,0.24375,0.309396529876309
"155",8,15,0,0.24875,0.322665218137457
"156",8,16,0,0.26625,0.332790083444079
"157",8,17,0,0.28125,0.346923285169474
"158",8,18,0,0.295,0.353463334402125
"159",8,19,0,0.33625,0.389073482939854
"160",8,20,0,0.3775,0.407478735985322
"161",9,1,0,0,0.00587116795033217
"162",9,2,0,0,0.0310776788082195
"163",9,3,0,0,0.0513490474613382
"164",9,4,0,0,0.0648875153868978
"165",9,5,0,0,0.0787670247000821
"166",9,6,0,0.00125,0.100057675267237
"167",9,7,0,0.14875,0.187509433677094
"168",9,8,0,0.1875,0.205132384947227
"169",9,9,0,0.215,0.223096949961179
"170",9,10,0,0.23125,0.241349256722995
"171",9,11,0,0.22875,0.251895747247216
"172",9,12,0,0.27375,0.289925879500595
"173",9,13,0,0.31,0.311643485960473
"174",9,14,0,0.36625,0.34558300243895
"175",9,15,0,0.435,0.383875976177108
"176",9,16,0,0.46125,0.402881120496526
"177",9,17,0,0.46,0.417573439462679
"178",9,18,0,0.47375,0.429823171713246
"179",9,19,0,0.46375,0.440373996428029
"180",9,20,0,0.46375,0.453670511002658
"181",10,1,0,0,0.00462064670966356
"182",10,2,0,0,0.0271059613838064
"183",10,3,0,0,0.0448254395278919
"184",10,4,0,0,0.0594231833380343
"185",10,5,0,0,0.0656380435330089
"186",10,6,0,0,0.0783605459418393
"187",10,7,0,0,0.094789930325736
"188",10,8,0,0,0.107055713138241
"189",10,9,0,0,0.114144672576608
"190",10,10,0,0,0.11969763689024
"191",10,11,0,0.00125,0.127825361194697
"192",10,12,0,0.12125,0.236452703402777
"193",10,13,0,0.17375,0.250205201423438
"194",10,14,0,0.20125,0.268573422963114
"195",10,15,0,0.22375,0.279076188655396
"196",10,16,0,0.23875,0.290663513428911
"197",10,17,0,0.2575,0.30758742095752
"198",10,18,0,0.27125,0.321228151133469
"199",10,19,0,0.29625,0.332790933915353
"200",10,20,0,0.32375,0.357866882201426
"201",11,1,0,0,0.00533845191894216
"202",11,2,0,0,0.0302581539441233
"203",11,3,0,0,0.0464895066311709
"204",11,4,0,0,0.0637309814000515
"205",11,5,0,0,0.0800173765655781
"206",11,6,0,0,0.0898248201063227
"207",11,7,0,0,0.100557463898992
"208",11,8,0,0.00125,0.107518964989471
"209",11,9,0,0.12375,0.291769689588745
"210",11,10,0,0.175,0.306857210007771
"211",11,11,0,0.23,0.326182628767737
"212",11,12,0,0.2775,0.342498633954512
"213",11,13,0,0.30625,0.36370455882185
"214",11,14,0,0.33125,0.37425128689607
"215",11,15,0,0.37,0.393708990581777
"216",11,16,0,0.375,0.407838090965408
"217",11,17,0,0.42625,0.424395865178025
"218",11,18,0,0.46375,0.442203635704294
"219",11,19,0,0.4775,0.464503015385781
"220",11,20,0,0.53625,0.491448931082639
"221",12,1,0,0,0.00542433886154322
"222",12,2,0,0,0.027389684608641
"223",12,3,0,0,0.0449732146197438
"224",12,4,0,0,0.0569253147236143
"225",12,5,0,0,0.0684432732241737
"226",12,6,0,0,0.0814223014135589
"227",12,7,0,0,0.0896674467029909
"228",12,8,0,0,0.102535423014593
"229",12,9,0,0.0025,0.109732754321865
"230",12,10,0,0.10375,0.186950623630497
"231",12,11,0,0.105,0.202484339455002
"232",12,12,0,0.16625,0.221981585276866
"233",12,13,0,0.18875,0.234688470373458
"234",12,14,0,0.19875,0.241709885992201
"235",12,15,0,0.22125,0.249275224582143
"236",12,16,0,0.245,0.26486150638192
"237",12,17,0,0.26,0.28006375344143
"238",12,18,0,0.25,0.286351606842277
"239",12,19,0,0.26125,0.299685587011621
"240",12,20,0,0.2925,0.315300158817727
"241",13,1,0,0,0.00521964778387337
"242",13,2,0,0,0.031001587873686
"243",13,3,0,0,0.0416732540109808
"244",13,4,0,0,0.0586211157636193
"245",13,5,0,0,0.0692146839422508
"246",13,6,0,0,0.0789555577803174
"247",13,7,0,0.00125,0.0900060703690083
"248",13,8,0,0.0775,0.187337035690102
"249",13,9,0,0.1,0.206329037837034
"250",13,10,0,0.1325,0.223079781435304
"251",13,11,0,0.1625,0.229638364400569
"252",13,12,0,0.18125,0.248090603598759
"253",13,13,0,0.195,0.269859077486821
"254",13,14,0,0.225,0.295980642632978
"255",13,15,0,0.24375,0.305350952662021
"256",13,16,0,0.28375,0.338439110094192
"257",13,17,0,0.30625,0.34499594197629
"258",13,18,0,0.35625,0.372939225913223
"259",13,19,0,0.40375,0.399824250367907
"260",13,20,0,0.41625,0.424383681077749
"261",14,1,0,0,0.00370033460808918
"262",14,2,0,0,0.0263439413648851
"263",14,3,0,0,0.0439929094598337
"264",14,4,0,0,0.0655465043596615
"265",14,5,0,0,0.0782078307645728
"266",14,6,0,0,0.0890003905626703
"267",14,7,0,0,0.104383676673262
"268",14,8,0,0.00125,0.118008945717713
"269",14,9,0,0.0725,0.184137611239716
"270",14,10,0,0.105,0.20541495812266
"271",14,11,0,0.145,0.221941308341628
"272",14,12,0,0.1875,0.24224619362854
"273",14,13,0,0.23,0.26588476095163
"274",14,14,0,0.2525,0.294569277382577
"275",14,15,0,0.28,0.314735620095779
"276",14,16,0,0.31375,0.342170308996224
"277",14,17,0,0.36,0.354395257607915
"278",14,18,0,0.37375,0.372220777261623
"279",14,19,0,0.43,0.402643837331459
"280",14,20,0,0.45,0.419767127486765
"281",15,1,0,0,0.00565016934418236
"282",15,2,0,0,0.031542812629461
"283",15,3,0,0,0.0467516488965806
"284",15,4,0,0,0.0587733416821244
"285",15,5,0,0,0.075446989650829
"286",15,6,0,0,0.0840702981028168
"287",15,7,0,0,0.0946703147773908
"288",15,8,0,0,0.0974484287197672
"289",15,9,0,0.00125,0.104460860976862
"290",15,10,0,0.1325,0.2221040002905
"291",15,11,0,0.205,0.244169661979938
"292",15,12,0,0.215,0.254752113362593
"293",15,13,0,0.22625,0.264212285387261
"294",15,14,0,0.23875,0.278804797617675
"295",15,15,0,0.23625,0.285084074887878
"296",15,16,0,0.24,0.291435336495657
"297",15,17,0,0.24625,0.297496694155606
"298",15,18,0,0.25125,0.307268285268297
"299",15,19,0,0.28625,0.332374762209017
"300",15,20,0,0.3225,0.351714245241505
"301",16,1,0,0,0.00475864834999084
"302",16,2,0,0,0.0274418946303132
"303",16,3,0,0,0.0419868331058532
"304",16,4,0,0,0.0592100642991923
"305",16,5,0,0,0.0670564293404945
"306",16,6,0,0,0.0811416074742272
"307",16,7,0,0,0.0903172396324934
"308",16,8,0,0.00125,0.112524428419863
"309",16,9,0,0.11,0.248000806129662
"310",16,10,0,0.1275,0.259520746911418
"311",16,11,0,0.17625,0.274451289949141
"312",16,12,0,0.19125,0.290293525616971
"313",16,13,0,0.22,0.308181450315578
"314",16,14,0,0.23125,0.312120625933314
"315",16,15,0,0.275,0.339225253111855
"316",16,16,0,0.325,0.367357907811389
"317",16,17,0,0.415,0.416724981178386
"318",16,18,0,0.50375,0.452921931522777
"319",16,19,0,0.595,0.499119213379486
"320",16,20,0,0.66,0.537657508129603
"321",17,1,0,0,0.00475020512536867
"322",17,2,0,0,0.0282307264584925
"323",17,3,0,0,0.0468976051936824
"324",17,4,0,0,0.0579004664743619
"325",17,5,0,0,0.0721078203678407
"326",17,6,0,0,0.084229564437891
"327",17,7,0,0,0.0918905760572526
"328",17,8,0,0.00125,0.0997935303038157
"329",17,9,0,0.085,0.216011015988964
"330",17,10,0,0.12125,0.221900286830735
"331",17,11,0,0.1625,0.235172461497438
"332",17,12,0,0.185,0.251908328446245
"333",17,13,0,0.21625,0.27067008943049
"334",17,14,0,0.22625,0.283604518990222
"335",17,15,0,0.2325,0.289972295421341
"336",17,16,0,0.2375,0.299098005777998
"337",17,17,0,0.2425,0.314674664089139
"338",17,18,0,0.26625,0.336789609318284
"339",17,19,0,0.29125,0.350990677125859
"340",17,20,0,0.3075,0.35376500763002
"341",18,1,0,0,0.00475673557884875
"342",18,2,0,0,0.0293956251893175
"343",18,3,0,0,0.0459955305088247
"344",18,4,0,0,0.064194062752023
"345",18,5,0,0,0.0807730654524905
"346",18,6,0,0,0.0875232055523941
"347",18,7,0,0,0.0974545529741045
"348",18,8,0,0,0.111796483314311
"349",18,9,0,0,0.132737928620499
"350",18,10,0,0.005,0.139927034343098
"351",18,11,0,0.1175,0.21495335584451
"352",18,12,0,0.14875,0.229372983619532
"353",18,13,0,0.175,0.255738969202592
"354",18,14,0,0.21,0.269503639573493
"355",18,15,0,0.2325,0.276446237567815
"356",18,16,0,0.26125,0.29217824680974
"357",18,17,0,0.28875,0.310313494000938
"358",18,18,0,0.3075,0.318061512397991
"359",18,19,0,0.32625,0.334199848452395
"360",18,20,0,0.355,0.354206459421344
"361",19,1,0,0,0.00504972042210284
"362",19,2,0,0,0.0315933010701734
"363",19,3,0,0,0.0441979644362851
"364",19,4,0,0,0.0593994444666071
"365",19,5,0,0,0.0761257306863096
"366",19,6,0,0,0.0850049912942409
"367",19,7,0,0,0.0912373598396705
"368",19,8,0,0,0.10133017026658
"369",19,9,0,0.00125,0.117681144588101
"370",19,10,0,0.08125,0.260643539482045
"371",19,11,0,0.13625,0.284134411580279
"372",19,12,0,0.20625,0.316784819785116
"373",19,13,0,0.23875,0.333552073481911
"374",19,14,0,0.2625,0.348735111950299
"375",19,15,0,0.31875,0.362997615636727
"376",19,16,0,0.395,0.397905285572716
"377",19,17,0,0.45,0.425469296984458
"378",19,18,0,0.49,0.445967175744602
"379",19,19,0,0.5125,0.467216098391058
"380",19,20,0,0.565,0.485606562176828
"381",20,1,0,0,0.00374847288365709
"382",20,2,0,0,0.0290334707768216
"383",20,3,0,0,0.0434414171406494
"384",20,4,0,0,0.0558106050636904
"385",20,5,0,0,0.0682093100162795
"386",20,6,0,0,0.0767811772017942
"387",20,7,0,0,0.0924186019113287
"388",20,8,0,0,0.0991384952412659
"389",20,9,0,0,0.114152537243192
"390",20,10,0,0.00125,0.130620021123841
"391",20,11,0,0.1,0.163183314563921
"392",20,12,0,0.10875,0.180397204857653
"393",20,13,0,0.1375,0.197385455152794
"394",20,14,0,0.17125,0.218147929187707
"395",20,15,0,0.18,0.229953365831771
"396",20,16,0,0.2025,0.245199305786378
"397",20,17,0,0.2225,0.267100917261705
"398",20,18,0,0.2325,0.275621770101499
"399",20,19,0,0.25875,0.298635298051893
"400",20,20,0,0.2675,0.308385127662644
"401",21,1,0,0,0.00449212281784276
"402",21,2,0,0,0.0295539541986774
"403",21,3,0,0,0.0482133602362176
"404",21,4,0,0,0.0619988430612237
"405",21,5,0,0,0.0684509435098939
"406",21,6,0,0,0.0855617497699045
"407",21,7,0,0,0.105832068992775
"408",21,8,0,0.0025,0.114719431698437
"409",21,9,0,0.08375,0.242238898339314
"410",21,10,0,0.12375,0.260327260383762
"411",21,11,0,0.15375,0.274218247763112
"412",21,12,0,0.19,0.288545628942586
"413",21,13,0,0.2375,0.311157644678029
"414",21,14,0,0.275,0.31965727236592
"415",21,15,0,0.3,0.339575174904114
"416",21,16,0,0.33125,0.357590907411731
"417",21,17,0,0.37625,0.376809577996146
"418",21,18,0,0.405,0.40375003616233
"419",21,19,0,0.4375,0.421918640775463
"420",21,20,0,0.45875,0.434830339688397
"421",22,1,0,0,0.00434213954405277
"422",22,2,0,0,0.0289201497779807
"423",22,3,0,0,0.0478395944134116
"424",22,4,0,0,0.0587490451051662
"425",22,5,0,0,0.0722221297894484
"426",22,6,0,0,0.0871928039083787
"427",22,7,0,0,0.0994458864633092
"428",22,8,0,0,0.110203963561705
"429",22,9,0,0.00125,0.1288990922111
"430",22,10,0,0.175,0.188091560046757
"431",22,11,0,0.19875,0.205465954858265
"432",22,12,0,0.23,0.230306461892016
"433",22,13,0,0.23875,0.250009727754162
"434",22,14,0,0.21625,0.261126476651785
"435",22,15,0,0.23375,0.268453726427639
"436",22,16,0,0.23,0.271250834296699
"437",22,17,0,0.2375,0.294873368609828
"438",22,18,0,0.25125,0.310880998036649
"439",22,19,0,0.27875,0.323157270458123
"440",22,20,0,0.335,0.354693450134488
"441",23,1,0,0,0.00419040065683657
"442",23,2,0,0,0.0294306221478276
"443",23,3,0,0,0.0502973339899833
"444",23,4,0,0,0.0632772162688963
"445",23,5,0,0,0.0806682684364314
"446",23,6,0,0,0.0863656604118311
"447",23,7,0,0,0.0961209529111452
"448",23,8,0,0.00125,0.104403076885508
"449",23,9,0,0.09,0.147756874240465
"450",23,10,0,0.12875,0.173166423500633
"451",23,11,0,0.17125,0.19345632230258
"452",23,12,0,0.20125,0.213042278257588
"453",23,13,0,0.22,0.219051517005402
"454",23,14,0,0.22125,0.230065431771807
"455",23,15,0,0.2275,0.244428934835052
"456",23,16,0,0.24375,0.260814865433335
"457",23,17,0,0.24125,0.270243338570201
"458",23,18,0,0.26125,0.286611620172175
"459",23,19,0,0.265,0.298459714061028
"460",23,20,0,0.27375,0.315766839464226
"461",24,1,0,0,0.00441870841055061
"462",24,2,0,0,0.0270741775505911
"463",24,3,0,0,0.0440048314039067
"464",24,4,0,0,0.0613182319561793
"465",24,5,0,0,0.0730295759544501
"466",24,6,0,0,0.0873802366101315
"467",24,7,0,0,0.10105849401807
"468",24,8,0,0,0.108717429778565
"469",24,9,0,0,0.125191015429047
"470",24,10,0,0.00375,0.136562456349199
"471",24,11,0,0.12125,0.161851549038705
"472",24,12,0,0.14125,0.173336605878238
"473",24,13,0,0.17875,0.196679957886936
"474",24,14,0,0.1925,0.208131450019013
"475",24,15,0,0.21125,0.225123467909876
"476",24,16,0,0.23,0.245277315692249
"477",24,17,0,0.23375,0.254798029053
"478",24,18,0,0.24125,0.259019402363442
"479",24,19,0,0.2425,0.265451602960288
"480",24,20,0,0.2375,0.282047926175568
"481",25,1,0,0,0.00518565003306139
"482",25,2,0,0,0.0315448248872005
"483",25,3,0,0,0.0522340118027404
"484",25,4,0,0,0.0625702262006274
"485",25,5,0,0,0.0748725831835944
"486",25,6,0,0,0.0883211647867654
"487",25,7,0,0,0.101490911305341
"488",25,8,0,0.00125,0.120323122801939
"489",25,9,0,0.08375,0.203674344671822
"490",25,10,0,0.13,0.216199617925524
"491",25,11,0,0.18125,0.238783315884
"492",25,12,0,0.2,0.249636962323233
"493",25,13,0,0.225,0.264364826221472
"494",25,14,0,0.24,0.277567968648978
"495",25,15,0,0.2625,0.289785913282122
"496",25,16,0,0.295,0.300998338563968
"497",25,17,0,0.32375,0.329212349809402
"498",25,18,0,0.3475,0.346250789147046
"499",25,19,0,0.37875,0.364447074741902
"500",25,20,0,0.405,0.388984506983925
"501",26,1,0,0,0.00540296386697446
"502",26,2,0,0,0.0292925387210163
"503",26,3,0,0,0.0461154408464306
"504",26,4,0,0,0.0635323997799356
"505",26,5,0,0,0.0689739458386823
"506",26,6,0,0,0.0773666557199712
"507",26,7,0,0,0.0848637756983162
"508",26,8,0,0,0.0972824385784792
"509",26,9,0,0,0.109841003302628
"510",26,10,0,0.0025,0.121740176060172
"511",26,11,0,0.14,0.19260139284317
"512",26,12,0,0.155,0.202145707979577
"513",26,13,0,0.19375,0.220307651870223
"514",26,14,0,0.215,0.242227637766496
"515",26,15,0,0.225,0.260451807033065
"516",26,16,0,0.2525,0.277266261496958
"517",26,17,0,0.27,0.300101655178323
"518",26,18,0,0.30375,0.326812609853748
"519",26,19,0,0.3425,0.364294446601286
"520",26,20,0,0.3925,0.40285200847372
"521",27,1,0,0,0.00457400136280921
"522",27,2,0,0,0.0249234440154955
"523",27,3,0,0,0.0465556845217932
"524",27,4,0,0,0.0633603795910291
"525",27,5,0,0,0.0675616716230113
"526",27,6,0,0,0.0807851974957283
"527",27,7,0,0,0.089860347564175
"528",27,8,0,0,0.10167673414386
"529",27,9,0,0,0.106333546405758
"530",27,10,0,0,0.112797634341597
"531",27,11,0,0,0.113699637431537
"532",27,12,0,0,0.12795663979849
"533",27,13,0,0,0.138761436756469
"534",27,14,0,0.00125,0.148137849446224
"535",27,15,0,0.14625,0.226425477591674
"536",27,16,0,0.1925,0.244571656097498
"537",27,17,0,0.21375,0.260515219876068
"538",27,18,0,0.24,0.271250779353416
"539",27,19,0,0.2625,0.289334663016468
"540",27,20,0,0.295,0.310512675786988
"541",28,1,0,0,0.00553615452829399
"542",28,2,0,0,0.0276593440039544
"543",28,3,0,0,0.0473481197476302
"544",28,4,0,0,0.0626332195698119
"545",28,5,0,0,0.0707808066447281
"546",28,6,0,0,0.0716279222261178
"547",28,7,0,0.00125,0.0887784087942644
"548",28,8,0,0.06875,0.172091991359725
"549",28,9,0,0.0975,0.186195857401922
"550",28,10,0,0.11,0.196014131490109
"551",28,11,0,0.12125,0.205424825847468
"552",28,12,0,0.12875,0.215430216045205
"553",28,13,0,0.1375,0.230066010598655
"554",28,14,0,0.1625,0.244160613282709
"555",28,15,0,0.18,0.256450881842986
"556",28,16,0,0.2075,0.270047721850535
"557",28,17,0,0.22375,0.278347017715977
"558",28,18,0,0.24625,0.297724207643283
"559",28,19,0,0.25,0.306128492826332
"560",28,20,0,0.265,0.316611458559964
"561",29,1,0,0,0.0045088892353815
"562",29,2,0,0,0.027027171103561
"563",29,3,0,0,0.047802963757919
"564",29,4,0,0,0.0605584372153869
"565",29,5,0,0,0.0737809140519953
"566",29,6,0,0,0.0918891708108263
"567",29,7,0,0,0.104122679241507
"568",29,8,0,0.00125,0.110474379733351
"569",29,9,0,0.10625,0.231002929733665
"570",29,10,0,0.11,0.240260336079298
"571",29,11,0,0.11125,0.252367155188461
"572",29,12,0,0.14375,0.278205742259123
"573",29,13,0,0.18,0.291247294809908
"574",29,14,0,0.225,0.318671073947931
"575",29,15,0,0.2825,0.347482104809869
"576",29,16,0,0.365,0.379563344371725
"577",29,17,0,0.4175,0.403661897670625
"578",29,18,0,0.46875,0.428533960480556
"579",29,19,0,0.4975,0.454482703345691
"580",29,20,0,0.52375,0.474690041663985
"581",30,1,0,0,0.00472967744275229
"582",30,2,0,0,0.0272053709029662
"583",30,3,0,0,0.042459999936394
"584",30,4,0,0,0.0653116073217137
"585",30,5,0,0,0.080759250998831
"586",30,6,0,0,0.0926332499096578
"587",30,7,0,0.00125,0.103810727527175
"588",30,8,0,0.12625,0.209793106479723
"589",30,9,0,0.18375,0.228263864988085
"590",30,10,0,0.18625,0.236178430640193
"591",30,11,0,0.20625,0.252345377932036
"592",30,12,0,0.21625,0.256910642268144
"593",30,13,0,0.22875,0.273968709242389
"594",30,14,0,0.24125,0.288311092579188
"595",30,15,0,0.27125,0.302628523821013
"596",30,16,0,0.295,0.316229810515266
"597",30,17,0,0.33375,0.329268949459513
"598",30,18,0,0.36375,0.345594598140528
"599",30,19,0,0.38375,0.364115210097009
"600",30,20,0,0.3925,0.376415869109495
"601",31,1,0,0,0.0048848612116999
"602",31,2,0,0,0.0275167890744383
"603",31,3,0,0,0.0484850024412296
"604",31,4,0,0,0.0575901352470634
"605",31,5,0,0,0.0708593017483471
"606",31,6,0,0,0.0890572827646074
"607",31,7,0,0.00375,0.104747176966224
"608",31,8,0,0.065,0.212534992818011
"609",31,9,0,0.09625,0.236381549523867
"610",31,10,0,0.11875,0.246823703455873
"611",31,11,0,0.14125,0.256713437144661
"612",31,12,0,0.16625,0.269169882200239
"613",31,13,0,0.20375,0.288358071329751
"614",31,14,0,0.255,0.319589561966827
"615",31,15,0,0.3575,0.380688995562158
"616",31,16,0,0.4475,0.414621847634094
"617",31,17,0,0.52625,0.454243780676709
"618",31,18,0,0.57625,0.485538508614779
"619",31,19,0,0.6075,0.505282240700333
"620",31,20,0,0.64125,0.524942207337582
"621",32,1,0,0,0.00539056663904921
"622",32,2,0,0,0.0277793017839314
"623",32,3,0,0,0.0454872536263951
"624",32,4,0,0,0.064415362974233
"625",32,5,0,0,0.0673126923020548
"626",32,6,0,0,0.0792742947125056
"627",32,7,0,0,0.0875276197588594
"628",32,8,0,0,0.0918460377233212
"629",32,9,0,0,0.106278865236186
"630",32,10,0,0,0.119158634461021
"631",32,11,0,0.005,0.127393272338588
"632",32,12,0,0.1425,0.2824564780637
"633",32,13,0,0.1825,0.296267677182657
"634",32,14,0,0.19625,0.310579383437533
"635",32,15,0,0.23875,0.328858004553376
"636",32,16,0,0.2575,0.345632123351501
"637",32,17,0,0.28375,0.371622951973783
"638",32,18,0,0.335,0.395956572618526
"639",32,19,0,0.4,0.431309230470511
"640",32,20,0,0.5,0.471467426525362
"641",33,1,0,0,0.00528429619141389
"642",33,2,0,0,0.0309912840623671
"643",33,3,0,0,0.0543543468349829
"644",33,4,0,0,0.0646340963965622
"645",33,5,0,0,0.0777258220772933
"646",33,6,0,0,0.0872207096768762
"647",33,7,0,0,0.0972620213826926
"648",33,8,0,0,0.105243657433871
"649",33,9,0,0.005,0.11625008671464
"650",33,10,0,0.15875,0.247475210085232
"651",33,11,0,0.18625,0.257371788807966
"652",33,12,0,0.21875,0.277300196211622
"653",33,13,0,0.25625,0.300262806948393
"654",33,14,0,0.28625,0.319218316473394
"655",33,15,0,0.2875,0.331796384975392
"656",33,16,0,0.3025,0.341830740269975
"657",33,17,0,0.32125,0.358756139662198
"658",33,18,0,0.35875,0.378824028496764
"659",33,19,0,0.365,0.398333761602333
"660",33,20,0,0.4,0.429660250569063
"661",34,1,0,0,0.00406584604168893
"662",34,2,0,0,0.0328856292381591
"663",34,3,0,0,0.0470818976668824
"664",34,4,0,0,0.0647306150661339
"665",34,5,0,0,0.0759535144428698
"666",34,6,0,0,0.080439667117051
