Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65d7a8eb36d9b45a59d66ad8,656fdcd3a1b204bf3b00cffc,APPROVED,Not Applicable,2024-02-22T20:05:15.960000Z,2024-02-22T20:34:55.882000Z,2024-02-23T13:28:56.013000Z,2024-02-22T21:00:26.783000Z,1780.0,CDH5AM11,115,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65d7a8ef6337aa59292ca8ad,5e67bcf03f8a34063871ba27,APPROVED,Not Applicable,2024-02-22T20:05:03.700000Z,2024-02-22T20:39:29.562000Z,2024-02-23T13:28:56.296000Z,2024-02-22T21:04:23.335000Z,2066.0,C16EH9UF,1790,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a8f792de38bced1b25c7,5c351b21d4ae620001d3ee01,APPROVED,Not Applicable,2024-02-22T20:05:23.178000Z,2024-02-22T20:44:26.078000Z,2024-02-23T13:28:56.569000Z,2024-02-22T21:08:27.452000Z,2343.0,CDH5AM11,837,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a8f8efea03cdea4ccfce,627e9805947f548a2938423d,APPROVED,Not Applicable,2024-02-22T20:05:18.718000Z,2024-02-22T20:44:46.444000Z,2024-02-23T13:28:56.841000Z,2024-02-22T21:08:44.312000Z,2368.0,CDH5AM11,315,"English, Romanian",36,Female,White,Romania,United Kingdom,Romania,Romanian,No,Full-Time
65d7a90701149f7f3115827a,5c8b65c3e65fc600177b4a1a,APPROVED,Not Applicable,2024-02-22T20:05:27.917000Z,2024-02-22T20:31:59.072000Z,2024-02-23T13:28:57.081000Z,2024-02-22T20:57:54.962000Z,1592.0,CDH5AM11,2062,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
65d7a90fe91985a59bcdf13f,5a7e206917ef350001704ea6,APPROVED,Not Applicable,2024-02-22T20:05:46.428000Z,2024-02-22T21:11:19.012000Z,2024-02-23T13:28:57.300000Z,2024-02-22T21:16:12.644000Z,3933.0,NOCODE,108,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
65d7a918c2a584ba3eeba707,6548f1b0d022da7d9ef1f076,APPROVED,Not Applicable,2024-02-22T20:05:53.665000Z,2024-02-22T20:32:00.983000Z,2024-02-23T13:28:57.551000Z,2024-02-22T20:57:56.757000Z,1568.0,CDH5AM11,246,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65d7a926596f8281d8daa545,5b550c6e303c330001660747,APPROVED,Not Applicable,2024-02-22T20:05:58.186000Z,2024-02-22T20:37:53.723000Z,2024-02-23T13:28:57.804000Z,2024-02-22T21:02:54.720000Z,1916.0,CDH5AM11,2268,"English, Chinese",57,Female,Asian,Hong Kong,United Kingdom,United Kingdom,Cantonese,No,Part-Time
65d7a929a7d0fa625757d9a9,5f5730f56cdec01a853fcb5c,APPROVED,Not Applicable,2024-02-22T20:06:06.413000Z,2024-02-22T20:12:29.016000Z,2024-02-23T13:28:32.167000Z,2024-02-22T20:41:16.995000Z,383.0,NOCODE,1808,English,71,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65d7a941596f8281d8daa549,65aec630f086a38d1a3ffc88,APPROVED,Not Applicable,2024-02-22T20:10:39.173000Z,2024-02-22T20:38:54.032000Z,2024-02-23T13:28:32.390000Z,2024-02-22T21:03:45.573000Z,1695.0,CDH5AM11,50,English,19,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
