Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65a93345661d3204a4a4808e,5663efdd1e460a0011633801,RETURNED,2024-01-18T14:18:51.984000Z,,,,,,1314,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a9335e54e3350c57825409,5cebd58ade266200191eaf7d,RETURNED,2024-01-18T14:23:28.333000Z,,,,,,3187,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a93362a1f4d5b10939e215,5903934944ed040001625819,RETURNED,2024-01-18T14:19:43.984000Z,,,,,,478,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a933b30c4c97ff9fffffee,5a119f36087f2e0001eaef90,RETURNED,2024-01-18T14:20:40.407000Z,,,,,,26,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a9342eabad040d78e41260,5955578c868d3100010cfa1a,RETURNED,2024-01-18T14:22:53.057000Z,,,,,,2049,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a934de6110ea2aba11655c,62e158f37782799d83425bb6,RETURNED,2024-01-18T14:36:00.071000Z,,,,,,764,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a9376e3f6b4a6860f1c306,5fa1a5fb86ec532fd6798d90,RETURNED,2024-01-18T14:36:39.212000Z,,,,,,1667,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable
65a9313e4c2b2327dbc499c5,5f7e0c5f582257095a86ff6e,APPROVED,2024-01-18T14:10:06.262000Z,2024-01-18T14:41:30.311000Z,2024-01-18T16:27:20.419000Z,2024-01-18T14:41:31.036000Z,1885.0,CDH5AM11,543,English,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a9318dd1f231c466189fa6,56a733145ad8d9000596dc2f,APPROVED,2024-01-18T14:18:08.075000Z,2024-01-18T14:53:00.415000Z,2024-01-18T16:27:20.744000Z,2024-01-18T14:53:01.180000Z,2093.0,CDH5AM11,692,English,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65a931ca3d7a4161573dd2ab,5dde2ba745fb05d83d91d8ad,APPROVED,2024-01-18T14:12:30.625000Z,2024-01-18T14:45:59.656000Z,2024-01-18T16:27:25.131000Z,2024-01-18T14:46:00.448000Z,2010.0,CDH5AM11,518,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
