Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667472076994038c34e77c3d,6658f3a2492864458de1a285,APPROVED,Not Applicable,2024-06-20T18:17:16.679000Z,2024-06-20T19:50:55.119000Z,2024-06-24T11:29:21.326000Z,2024-06-20T19:52:55.956220Z,5619.0,CD9A7ZYU,15,English,"No, I have no issues seeing colours",31,Female,Black,Nigeria,United Kingdom,United Kingdom,English,Yes,Full-Time
66747212a7771d2f34128b21,65c10d5c7796221b6986edba,APPROVED,Not Applicable,2024-06-20T18:17:12.724000Z,2024-06-20T19:12:17.027000Z,2024-06-24T11:29:21.608000Z,2024-06-20T19:13:17.421381Z,3305.0,CD9A7ZYU,109,English,"No, I have no issues seeing colours",32,Female,Black,United States,United States,United States,English,Yes,Full-Time
6674721f9b1427d8cc736c4b,664a5be05bc29332beb2fced,APPROVED,Not Applicable,2024-06-20T18:17:07.523000Z,2024-06-20T19:21:00.634000Z,2024-06-24T11:29:21.858000Z,2024-06-20T19:22:52.221963Z,3834.0,CD9A7ZYU,31,English,"No, I have no issues seeing colours",41,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6674722a09b5e094d5c3bcc6,5ce2eab17309c900154e1ed0,APPROVED,Not Applicable,2024-06-20T18:20:35.380000Z,2024-06-20T19:09:10.725000Z,2024-06-24T11:29:22.084000Z,2024-06-20T19:09:11.220534Z,2916.0,CD9A7ZYU,84,English,"No, I have no issues seeing colours",32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6674723a48bdaade2183ae92,6652a787bc9052c5a91535b9,APPROVED,Not Applicable,2024-06-20T18:18:18.067000Z,2024-06-20T19:08:20.073000Z,2024-06-24T11:29:22.324000Z,2024-06-20T19:08:20.745877Z,3003.0,CD9A7ZYU,48,English,"No, I have no issues seeing colours",40,Female,Asian,DATA_EXPIRED,United States,DATA_EXPIRED,English,No,Full-Time
6674723b390a49b077d20b23,5b967b7400e06e0001bfbc20,APPROVED,Not Applicable,2024-06-20T18:18:11.491000Z,2024-06-20T19:07:57.641000Z,2024-06-24T11:29:22.595000Z,2024-06-20T19:07:58.162579Z,2987.0,CD9A7ZYU,752,English,"No, I have no issues seeing colours",34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
667472542cf85ac21d950efe,660c9fe7b2e6bf22bcc608b1,RETURNED,Not Applicable,2024-06-20T18:28:00.059000Z,,,2024-07-08T15:41:45.515972Z,,,117,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6674725520a4fc5e4d13b613,5ecfd28bb14b1c05751f178c,APPROVED,Not Applicable,2024-06-20T18:18:08.848000Z,2024-06-20T19:19:18.045000Z,2024-06-24T11:29:22.815000Z,2024-06-20T19:19:18.462484Z,3670.0,CD9A7ZYU,2389,English,"No, I have no issues seeing colours",33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66747269623a8f35482ddd5f,597095d3db808600019d603e,RETURNED,Not Applicable,2024-06-20T18:28:17.592000Z,,,2024-07-08T15:41:45.519007Z,,,1585,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6674729250dde06fd0fbfe1c,660b0645850199758392bd5b,RETURNED,Not Applicable,2024-06-20T18:19:04.426000Z,,,2024-07-08T15:41:45.592074Z,,,141,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
